id,name,x,y,z,rate,type,property
1,Ulla,-9.03,42.46,0.0,0.03331,plastic-plastic-paper,heavy-light-medium
2,Minho,-8.97,41.85,0.0,0.03331,plastic-plastic-paper,heavy-light-medium
3,Douro,-8.79,41.14,0.00,0.03331,plastic-plastic-paper,heavy-light-medium
4,Mondego,-8.97,40.11,0.00,0.03331,plastic-plastic-paper,heavy-light-medium
5,Tagus,-9.33,38.61,0.00,0.03331,plastic-plastic-paper,heavy-light-medium
6,Sado,-8.97,38.38,0.00,0.03331,plastic-plastic-paper,heavy-light-medium
7,Guadiana,-7.41,37.11,0.00,0.03331,plastic-plastic-paper,heavy-light-medium
8,Guadalquivir,-6.51,36.76,0.00,0.03331,Plastic-plastic-paper,heavy-light-medium
