,longitude,latitude,T_Thousands_of_tonnes
ESGAR,-1.8210511300000007,37.18159230499998,4231.111111111111
ESACA,0.5471014490000243,40.57460031199997,538.8
ESSCR,0.6006451360000256,40.61738902899998,5.583333333333333
ESVLG,1.7350286500000038,41.21662641400002,118.15384615384616
ESVCC,1.8659059699999716,41.236730826999974,35.5
ESPAL,3.1285732640000106,41.84465227700002,79.16666666666667
ESBRM,-2.716700003000028,43.41733866300001,129.125
ESLPA,-15.425053827,28.136104930999977,8489.394736842105
ESSCT,-16.239274901999977,28.481896354000014,6107.4473684210525
PTFNC,-16.908996581999986,32.645507812000005,529.8571428571429
PTCNL,-16.734313965000013,32.737121581999986,502.07142857142856
PTPXO,-16.314514159999987,33.06390380900001,11.5
ESMLN,-2.937622069999975,35.28387451200001,297.05263157894734
ESCEU,-5.313293456999986,35.89031982400002,765.0
ESALG,-5.431617500000016,36.12801350000001,31056.42105263158
ESCAD,-6.281494140999996,36.532470703,1944.0263157894738
ESAGP,-4.417785644999981,36.711914062000005,1430.1052631578948
ESMOT,-3.529479980000019,36.72369384799998,1054.84375
ESLEI,-2.475402831999986,36.831909180000025,2801.7894736842104
PTVDP,-25.14129638700001,36.94049072299998,20.5
PTFAO,-7.933410644999981,37.011474609000004,146.0
PTPRM,-8.533081055000025,37.137329102000024,0.0
ESHUV,-6.957885741999974,37.249511719,11516.894736842105
ESSVQ,-6.022521972999982,37.36627197299998,2081.5526315789475
ESCAR,-0.9844090419999816,37.59758612600001,12672.736842105263
PTPDL,-25.657592772999976,37.741699219,680.1
PTSIE,-8.866767999999979,37.953835000000026,14376.28947368421
ESALC,-0.4898071289999848,38.334472656,1315.5263157894738
PTSET,-8.888793944999975,38.520690918000014,3144.7105263157896
PTHOR,-28.624389647999976,38.528076172,47.5
PTCDP,-28.32012939499998,38.531494140999996,46.5
PTVEL,-28.210021972999982,38.678527831999986,39.0
PTLIS,-9.105339500000014,38.72701799999999,5215.578947368421
PTPRV,-27.060913086000028,38.72869873000002,270.5
PTPRG,-27.97052001999998,39.052307128999985,13.0
PTLAJ,-31.170410156000003,39.379516602000024,12.5
ESVLC,-0.3207644760000221,39.44920791300001,22624.07894736842
ESPMI,2.631349407000016,39.56786890799998,4423.421052631579
ESCAS,0.021762000000023818,39.97080249999999,6538.184210526316
PTFDF,-8.858093262000011,40.148681640999996,792.7142857142857
PTAVE,-8.72991943400001,40.649291991999974,1800.078947368421
ESTAR,1.2327619999999797,41.10206199999999,15028.868421052632
ESBCN,2.165693669999996,41.353088859000025,18088.5
PTLEI,-8.702981500000021,41.183099500000026,7028.578947368421
PTVDC,-8.842285156000003,41.68389892599998,378.6666666666667
FRNOU,3.06390380900001,43.016479491999974,957.0263157894736
FRTLN,5.915893555000025,43.117919922,444.4583333333333
FRMRS,5.345006500000011,43.333191,40468.13157894737
FRSET,3.7041015620000053,43.397277831999986,1664.8684210526317
ESVGO,-8.729980468999997,42.241088866999974,1769.7894736842106
ESMPG,-8.693298340000013,42.39849853499999,901.078947368421
ESVIL,-8.775390625,42.596679687000005,501.63157894736844
ESPAS,-1.9197998050000251,43.32189941399997,1973.5526315789473
ESBIO,-3.032222499999989,43.34695449999998,14905.473684210527
ESLCG,-8.39575400000001,43.363395500000024,6144.078947368421
ESSDR,-3.808410644999981,43.45709228499999,2523.5263157894738
ESFRO,-8.242305999999985,43.47614299999998,5544.8421052631575
FRBAY,-1.48968505900001,43.50653076200001,1663.1052631578948
ESGIJ,-5.685590499999989,43.5599555,8942.842105263158
ESAVS,-5.929321288999972,43.58807373000002,2312.1052631578946
FRBOD,-0.5629882810000026,44.835693359000004,3928.3947368421054
FRLRH,-1.1591796879999947,46.154296875,3874.2631578947367
FRLSO,-1.7911987300000192,46.49450683600003,331.375
FRNTE,-1.58258056599999,47.197692871000015,14325.868421052632
FRLRT,-3.3500976560000026,47.74212646500001,1222.1052631578948
FRBES,-4.475585937999995,48.379699706999986,1228.157894736842
FRSML,-2.0280761719999987,48.645874022999976,722.5263157894736
FRCFR,-0.35247802700001785,49.18389892599998,958.0263157894736
FRURO,1.0458984370000053,49.439880371000015,10393.657894736842
FRLEH,0.09647178599999506,49.47963436100002,31728.13157894737
FRCER,-1.6132202150000126,49.64910888700001,641.6578947368421
FRDPE,1.0842895509999835,49.93487548799999,522.0263157894736
GBFOY,-4.63421630900001,50.335327147999976,454.6666666666667
GBPLY,-4.135192871000015,50.36309814499998,1063.342105263158
GBPOO,-1.9827880860000278,50.712097168000014,566.9473684210526
FRBOL,1.5775146479999762,50.725097656,521.0
GBNHV,0.058898925999983476,50.782470703,415.39473684210526
GBPME,-1.1062011719999987,50.80889892599998,1925.342105263158
GBSHO,-0.25091552700001785,50.830688477000024,896.1052631578947
GBSOU,-1.405910939000023,50.89632164,18031.447368421053
FRCQF,1.8548272969999857,50.967095674999996,8809.394736842105
FRDKK,2.1789215000000013,51.0160065,20306.394736842107
BEGNE,3.7416992189999974,51.085083008000026,12526.71052631579
GBDVR,1.3174759999999992,51.12308899999999,11445.578947368422
BEOST,2.921875,51.235107422,2312.375
BEANR,4.375671387000011,51.25390625,78036.73684210527
BEZEE,3.197264500000017,51.36302549999999,13699.947368421053
GBRMG,1.4202880860000278,51.327697753999985,545.3243243243244
NLTNZ,3.81386950000001,51.337199999999996,6122.3
GBMED,0.5529086270000221,51.40056149399999,6271.578947368421
NLVLI,3.5970970000000193,51.44206200000002,7672.6
GBBRS,-2.6240234379999947,51.449707031,4825.894736842105
GBCDF,-3.15960693400001,51.45330810500002,1037.3157894736842
GBLON,-0.07913800000000037,51.505424500000004,23767.92105263158
GBNPT,-2.986083984000004,51.567504883000026,1400.1315789473683
GBPTB,-3.7976899999999887,51.57632050000001,3686.4736842105262
GBSWA,-3.929809569999975,51.615478515999996,314.60526315789474
IEBYT,-9.458984375,51.68109130900001,562.0555555555555
NLMOE,4.616516112999989,51.69989013700001,2527.1052631578946
IEKLN,-8.517700194999975,51.70147705099998,18.0
GBMLF,-5.029863244000012,51.70950801499998,17688.947368421053
NLDOR,4.644897461000028,51.80487060500002,1290.6176470588234
NLZWI,4.653686522999976,51.815673828,61.05
NLVLA,4.363525390999996,51.90130615200002,3141.0263157894738
IEORK,-8.435485840000013,51.90167236299999,4385.1578947368425
NLRTM,4.483703612999989,51.903686522999976,182869.2894736842
GBHRW,1.2883300780000013,51.94927978499999,1836.3157894736842
GBFXT,1.3134244920000242,51.949968954999974,12477.473684210527
GBFIS,-4.982604980000019,52.01470947299998,205.73684210526315
GBIPS,1.1605224610000278,52.046081543000014,1313.1842105263158
NLSCE,4.254089355000019,52.101074219,961.35
IEROS,-6.338623046999999,52.25549316399997,992.8181818181819
IEWAT,-7.112182616999974,52.26208496100003,856.8888888888889
IENRS,-6.945495605000019,52.394287109000004,337.32
NLAMS,4.878479003999985,52.39807128899997,40895.97368421053
NLZAA,4.835083008000026,52.429077147999976,91.95
GBGTY,1.7354736330000264,52.571105956999986,431.94736842105266
IELMK,-8.62538718799999,52.66807283999998,4995.894736842105
NLDHR,4.784912109000004,52.96649169900002,96.1842105263158
GBBOS,-0.015808105000019168,52.96807861299999,393.8157894736842
NLHAR,5.4085083009999835,53.175903319999975,331.56756756756755
IEGWY,-9.044006347999982,53.268676758000026,336.04545454545456
IEDLG,-6.132995605000019,53.297302246000015,3.4166666666666665
GBHLY,-4.62359619099999,53.31268310500002,1811.342105263158
IEDUB,-6.223929664000025,53.34784038999999,9773.868421052632
